id,name,country,ico,ic_dph,dic,municipality,postal_code,property_registration_number,street_name,vat_payer,building_number,category,created_date,last_modified_date,created_by,last_modified_by,color,image,image_content_type
1,BILLA s.r.o.,Slovensko,31347037,SK2020312503,2020312503,Bratislava - mestská časť Ružinov,82102,,Bajkalská,b'\x01',19/A,Stravovanie/null,2023-09-28 22:57:45,2023-12-08 12:52:30,1,system,,,
2,Kaufland Slovenská republika v.o.s.,Slovensko,35790164,SK2020234216,2020234216,Bratislava - mestská časť Nové Mesto,83104,,Trnavská cesta,b'\x01',41/A,Stravovanie/Potraviny,2023-09-28 22:58:10,2023-11-26 08:19:12,1,system,,,
3,"Lidl Slovenská republika, s.r.o.",Slovensko,35793783,SK2020279415,2020279415,Bratislava - mestská časť Ružinov,82102,1E,Ružinovská,b'\x01',,Stravovanie/null,2023-09-29 10:08:43,2024-03-18 11:28:02,2,7,,,
4,"SLOVNAFT, a.s.",Slovensko,31322832,SK2020372640,2020372640,Bratislava - mestská časť Ružinov,82412,1,Vlčie hrdlo,b'\x01',,Auto-moto/null,2023-09-29 11:08:00,2023-12-07 06:24:32,2,7,,,
5,"Štatistické a evidenčné vydavateľstvo tlačív,a.s.ŠEVT a.s. /skrátená verzia obchodného mena/",Slovensko,31331131,SK2020295860,2020295860,Bratislava - mestská časť Ružinov,82109,6,Plynárenská,b'\x01',,Zábava a oddych/null,2023-11-24 21:17:45,2023-11-29 18:15:42,7,7,,,
6,Peek & Cloppenburg s.r.o.,Slovensko,35821272,SK2021596159,2021596159,Bratislava - mestská časť Nové Mesto,83103,1,Jarošova,b'\x01',,Oblečenie a obuv/null,2023-11-27 11:23:57,2023-11-27 11:24:03,1,1,,,
7,"BENU SK 43, s. r. o.",Slovensko,47470615,SK7020000350,2023904135,Bratislava - mestská časť Rača,83104,,Pribylinská,b'\x01',2/A,Zdravie a osobná starostlivosť/null,2023-11-27 19:26:50,2023-11-27 19:30:27,1,1,,,
8,Test,,123,,,,,,,,,,2023-12-01 01:04:17,2023-12-01 01:04:17,1,1,,,
9,"FINAL - CD plus, s.r.o.",Slovensko,47741686,SK2024080971,2024080971,Partizánske,95801,437,Škultétyho,b'\x01',18,Auto-moto/null,2023-12-01 08:24:02,2023-12-01 08:24:04,7,7,,,
10,"ALLTOYS, spol. s r.o.",Slovensko,31569323,SK2020466987,2020466987,Prievidza,97101,13A,Ciglianska cesta,b'\x01',,Zábava a oddych/null,2023-12-01 08:43:23,2024-11-04 07:49:24,7,7,,,
11,"ASIAN SKY, s.r.o.",Slovensko,35943947,SK2022107043,2022107043,Bratislava - mestská časť Ružinov,82104,16,Ivanská cesta,b'\x01',,Stravovanie/null,2023-12-01 08:44:17,2023-12-01 08:44:19,7,7,,,
12,1. DENTÁLNE CENTRUM s. r. o.,Slovensko,46206965,,2023286452,Bratislava - mestská časť Petržalka,85102,,Ambroseho,b'\x00',12,Zdravie a osobná starostlivosť/null,2023-12-01 08:44:30,2023-12-01 08:44:34,7,7,,,
13,Dr.MAGNET s.r.o.,Slovensko,36553204,SK2021737322,2021737322,Komárno,94501,3862,Novozámocká cesta,b'\x01',2,Zdravie a osobná starostlivosť/null,2023-12-01 08:44:38,2023-12-01 08:44:41,7,7,,,
14,"3S DENT, s. r. o.",Slovensko,44431198,,2022705586,Bratislava - mestská časť Staré Mesto,81109,7,Klemensova,b'\x00',,Zdravie a osobná starostlivosť/null,2023-12-01 08:44:49,2023-12-01 08:44:53,7,7,,,
15,Patient Management Services s. r. o.,Slovensko,52967271,SK2121288488,2121288488,Bratislava - mestská časť Staré Mesto,81107,27,Radlinského,b'\x01',,Zdravie a osobná starostlivosť/null,2023-12-04 14:06:07,2023-12-04 14:06:09,7,7,,,
16,"dm drogerie markt, s.r.o.",Slovensko,31393781,SK2020354534,2020354534,Bratislava - mestská časť Rača,83106,18,Na pántoch,b'\x01',,Zdravie a osobná starostlivosť/null,2023-12-06 19:32:58,2023-12-06 19:33:03,7,7,,,
17,"Tesco Franchise Stores SR, s. r. o.",Slovensko,53044061,SK2121237085,2121237085,Trnava,91701,7310,Veterná,b'\x01',40,Stravovanie/null,2023-12-06 19:33:22,2024-01-12 08:06:30,7,7,,,
18,"DALITRANS, s.r.o.",Slovensko,36298883,SK2020174706,2020174706,Veľké Bierovce,91311,266,Veľké Bierovce,b'\x01',,Auto-moto/null,2023-12-06 19:33:34,2023-12-06 19:33:36,7,7,,,
19,EFLEK s. r. o.,Slovensko,47205083,SK2023803452,2023803452,Bratislava - mestská časť Dúbravka,84102,2626,Plachého,b'\x01',1,Zdravie a osobná starostlivosť/null,2023-12-06 19:35:52,2023-12-06 19:35:58,7,7,,,
20,EMKAR market s.r.o.,Slovensko,35795638,SK2020257448,2020257448,Bratislava - mestská časť Ružinov,82109,11,Dulovo nám.,b'\x01',,Stravovanie/null,2023-12-06 19:36:37,2023-12-07 06:28:52,7,7,,,
21,"SANSIL, s. r. o.",Slovensko,54602564,SK2121753667,2121753667,Bratislava - mestská časť Petržalka,85101,50,Rusovská cesta,b'\x00',,,2023-12-06 19:36:47,2023-12-06 19:36:47,7,7,,,
22,"COOP Jednota Nové Zámky, spotrebné družstvo",Slovensko,00168882,SK2020401262,2020401262,Nové Zámky,94049,6,Hlavné nám.,b'\x01',,Stravovanie/null,2023-12-06 19:39:39,2023-12-06 20:08:27,7,7,,,
23,"Inditex Slovakia, s. r. o.",Slovensko,36779644,SK2022395078,2022395078,Bratislava - mestská časť Petržalka,85101,18,Einsteinova,b'\x01',,Oblečenie a obuv/null,2023-12-06 19:41:31,2023-12-06 19:41:48,7,7,,,
24,"CCC Slovakia, s. r. o.",Slovensko,46509500,SK2023414492,2023414492,Bratislava - mestská časť Ružinov,82104,16,Ivanská cesta,b'\x01',,Oblečenie a obuv/null,2023-12-06 19:41:56,2023-12-07 15:24:52,7,7,,,
