id,category,product_id
1,drinks/non-alcoholic,1
2,home/maintenence,1
3,drinks/mineral-water,1
4,drinks/non-alcoholic,2
5,dairy/joghurts,2
6,fruits-veg/vegetable,2
7,drinks/non-alcoholic,3
8,drinks/mineral-water,3
9,home/accessories,3
10,drinks/mineral-water,4
11,health/vitamins-ointments,4
12,dairy/milk,4
13,basic/oil-acid-grease,5
14,drinks/beer,5
15,dairy/butter,5
16,basic/sauces,6
17,basic/spread,6
18,dairy/cream,6
19,basic/sauces,8
20,dairy/cream,8
21,dairy/joghurts,8
22,fruits-veg/fruit,9
23,free-time/books-news-magazines,9
24,fruits-veg/vegetable,9
25,fruits-veg/fruit,10
26,drinks/alcohol,10
27,dairy/cheese,10
28,dairy/cheese,11
29,drinks/wine,11
30,basic/soy-products,11
31,dairy/butter,13
32,fruits-veg/dried-nuts,13
33,drinks/alcohol,13
34,dairy/eggs,15
35,fashion/clothes,15
36,pastry/salty,15
37,home/maintenence,17
38,drugstore/hygiene,17
39,other,17
40,meat/deli,18
41,home/accessories,18
42,basic/baking,18
43,snacks/salty,20
44,snacks/sweet,20
45,drugstore/hygiene,20
46,dairy/cheese,21
47,basic/spread,21
48,meat/meat-products,21
49,frozen/instant,22
50,dairy/cheese,22
51,pastry/salty,22
52,health/medical-supplies,24
53,home/maintenence,24
54,home/decorations,24
55,home/maintenence,26
56,home/accessories,26
57,health/medical-supplies,26
58,free-time/other,27
59,other,27
60,meat/fish,27
61,fruits-veg/fruit,28
62,drinks/mineral-water,28
63,drinks/alcohol,28
64,dairy/joghurts,29
65,health/vitamins-ointments,29
66,pastry/sweet,29
67,dairy/butter,31
68,dairy/lact-free,31
69,basic/oil-acid-grease,31
70,health/vitamins-ointments,33
71,snacks/sweet,33
72,pastry/sweet,33
73,fruits-veg/fruit,34
74,free-time/books-news-magazines,34
75,meat/meat-products,34
76,pastry/basic,35
77,pastry/salty,35
78,home/accessories,35
79,meat/smoked,36
80,meat/meat-products,36
81,meat/fish,36
82,drinks/beer,7
83,meat/meat,7
84,home/accessories,7
85,drinks/beer,12
86,meat/meat,12
87,home/accessories,12
88,drinks/beer,14
89,meat/meat,14
90,home/accessories,14
91,drinks/beer,16
92,meat/meat,16
93,home/accessories,16
94,drinks/beer,19
95,meat/meat,19
96,home/accessories,19
97,drinks/beer,23
98,meat/meat,23
99,home/accessories,23
100,drinks/beer,25
101,meat/meat,25
102,home/accessories,25
103,drinks/beer,30
104,meat/meat,30
105,home/accessories,30
106,other,32
107,meat/meat,32
108,home/maintenence,32
109,basic/baking,37
110,dairy/lact-free,37
111,health/vitamins-ointments,37
112,pets,39
113,meat/fish,39
114,home/office,39
115,home/maintenence,41
116,home/cleaning,41
117,home/office,41
118,basic/pasta,43
119,home/maintenence,43
120,drinks/alcohol,43
121,baby/supplies-hygiene,45
122,home/maintenence,45
123,home/office,45
124,drinks/juice,47
125,home/plants-garden,47
126,drinks/non-alcoholic,47
127,baby/food,48
128,meat/meat-products,48
129,basic/spread,48
130,dairy/milk,50
131,dairy/joghurts,50
132,drinks/beer,50
133,basic/canned-fruits-vegetable,51
134,meat/fish,51
135,dairy/cheese,51
136,basic/spread,53
137,snacks/sweet,53
138,meat/meat-products,53
139,dairy/eggs,55
140,home/accessories,55
141,pastry/salty,55
142,dairy/joghurts,57
143,health/vitamins-ointments,57
144,basic/baking,57
145,dairy/cream,58
146,dairy/joghurts,58
147,basic/baking,58
148,dairy/butter,60
149,pastry/salty,60
150,basic/oil-acid-grease,60
151,dairy/cheese,61
152,drinks/alcohol,61
153,drinks/wine,61
154,meat/meat,63
155,basic/instant,63
156,fashion/clothes,63
157,snacks/sweet,64
158,home/maintenence,64
159,pastry/sweet,64
160,dairy/cheese,66
161,basic/baking,66
162,fruits-veg/dried-nuts,66
163,drinks/mineral-water,68
164,drinks/non-alcoholic,68
165,home/maintenence,68
166,drinks/mineral-water,69
167,drinks/non-alcoholic,69
168,dairy/milk,69
169,dairy/joghurts,70
170,drinks/non-alcoholic,70
171,eating,70
172,drinks/non-alcoholic,71
173,home/maintenence,71
174,basic/baking,71
175,drinks/juice,72
176,fruits-veg/fruit,72
177,basic/tea-coffee-soups,72
178,fruits-veg/vegetable,73
179,dairy/cheese,73
180,home/plants-garden,73
181,fruits-veg/vegetable,74
182,home/plants-garden,74
183,drinks/beer,74
184,fruits-veg/fruit,75
185,meat/meat-products,75
186,free-time/books-news-magazines,75
187,home/plants-garden,77
188,basic/baking,77
189,free-time/books-news-magazines,77
190,fruits-veg/vegetable,78
191,meat/deli,78
192,home/plants-garden,78
193,meat/smoked,79
194,meat/meat-products,79
195,hazard,79
196,meat/meat-products,80
197,drinks/alcohol,80
198,drinks/mineral-water,80
199,snacks/sweet,82
200,health/vitamins-ointments,82
201,health/medical-supplies,82
202,home/accessories,83
203,basic/sugar-flour-rice,83
204,basic/baking,83
205,pastry/sweet,84
206,snacks/sweet,84
207,basic/tea-coffee-soups,84
208,dairy/cheese,85
209,drinks/beer,85
210,free-time/toys,85
211,drinks/beer,86
212,baby/supplies-hygiene,86
213,home/maintenence,86
214,fruits-veg/dried-nuts,87
215,free-time/toys,87
216,meat/smoked,87
217,basic/tea-coffee-soups,88
218,basic/spread,88
219,snacks/sweet,88
220,snacks/sweet,89
221,home/office,89
222,fruits-veg/vegetable,89
223,basic/oil-acid-grease,90
224,auto/care,90
