id,name,item_type,price,vat_rate,category,organization_id,org_unit_id,created_date,last_modified_date,created_by,last_modified_by,is_overridden
1,"NESTEA CITRÓN 1,5l  ",K,0.99,20.0,drinks/non-alcoholic,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00'
2,ZÁLOHA PET          ,K,0.15,0.0,drinks/non-alcoholic,1,1,2023-09-28 22:57:45,2023-11-22 12:15:34,1,1,b'\x00'
3,"MAG.GREP 1,5l       ",K,0.65,20.0,drinks/non-alcoholic,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00'
4,"MAG.PER.1,5l        ",K,0.59,20.0,drinks/mineral-water,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00'
5,Raciol rastl.1l     ,K,2.59,20.0,basic/oil-acid-grease,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00'
6,Šmak majon.400ml    ,K,1.59,20.0,basic/sauces,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00'
7, ZĽAVA AKCIA                            ,Z,-0.4,20.0,drinks/beer,1,1,2023-09-28 22:57:45,2023-09-28 22:57:48,1,system,b'\x00'
8,Šmak tat.om.400ml   ,K,1.59,20.0,basic/sauces,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00'
9,Jablko cvikla200ml  ,K,0.99,10.0,fruits-veg/fruit,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00'
10,Jabl.kivi a ananás  ,K,1.09,10.0,fruits-veg/fruit,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00'
11,syr Hermelín 120g   ,K,1.6900000000000002,20.0,dairy/cheese,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00'
12, ZĽAVA AKCIA                            ,Z,-0.5,20.0,drinks/beer,1,1,2023-09-28 22:57:45,2023-09-28 22:57:48,1,system,b'\x00'
13,margar.Plmarin 250  ,K,0.95,20.0,dairy/butter,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00'
14, ZĽAVA AKCIA                            ,Z,-0.26,20.0,drinks/beer,1,1,2023-09-28 22:57:45,2023-09-28 22:57:48,1,system,b'\x00'
15,Juniorky 10/S       ,K,1.79,20.0,dairy/eggs,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1,b'\x00'
16, ZĽAVA AKCIA                            ,Z,-0.7,20.0,drinks/beer,1,1,2023-09-28 22:57:45,2023-09-28 22:57:48,1,system,b'\x00'
17,TP TENTO ECON.2-VR  ,K,0.85,20.0,home/maintenence,1,1,2023-09-28 22:57:45,2023-11-22 12:15:34,1,1,b'\x00'
