id,receipt_id,ico,cash_register_code,issue_date,create_date,customer_id,dic,ic_dph,invoice_number,okp,paragon,paragon_number,receipt_number,type,tax_base_basic,tax_base_reduced,total_price,free_tax_amount,vat_amount_basic,vat_amount_reduced,vat_rate_basic,vat_rate_reduced,exemption,org_building_number,org_country,org_dic,org_ic_dph,org_ico,org_municipality,org_name,org_postal_code,org_property_registration_number,org_street_name,org_vat_payer,unit_building_number,unit_cash_register_code,unit_country,unit_municipality,unit_postal_code,unit_property_registration_number,unit_street_name,unit_name,unit_type,pkp,category,organization_id,org_unit_id,created_date,last_modified_date,created_by,last_modified_by
1,O-3767E66C4F9D4D9DA7E66C4F9DFD9D0E,31347037,88820203125030016,02.04.2022 15:09:57,02.04.2022 15:09:57,,2020312503,SK2020312503,,3799A56D-D746500E-BBE3E2DD-3EE08F80-80CF67DA,b'\x00',,614,PD,25.42,7.42,39.56,0.9,5.08,0.74,20.0,10.0,b'\x00',19/A,Slovensko,2020312503,SK2020312503,31347037,Bratislava - mestská časť Ružinov,BILLA s.r.o.,,,Bajkalská,b'\x01',,88820203125030016,Slovensko,Bratislava - Karlova Ves,84102,4,Segnerová ulica,,STANDARD,cTAPBafBiK/FtI15vryQhQCUj9uR19sSFDyArGNfXuzRdeP3w8rvIn47c52qvXPsRWXL/Da+LOdX5PR92sQn6ETI3Un0gxpH6Js3bc2IwkO7kYg4BS4DH4p/MhOBWpuz9piIhl6Ocd2Xysd7tbd6VExdvhtLIrwwAe56q7FWpMHzSr49BJ/chW9sUgIZLNoN8gSaOcIwRuJwZwakDx1qcWcyiW8P40uAvb5JIO+3Tsuu1vAy9OgZNC1tnOTWd7C6ePzsk+7yXLfuOGYR7kpELjXE+aSred0mMe9K95tQ4YLFq9DzQO8jZ6oGLfYvEorcyoNTO/BQRCAWba6QKSkbHw==,,1,1,2023-09-28 22:57:45,2023-09-28 22:57:46,1,1
2,O-9F29E0078F3F4F2CA9E0078F3F0F2C94,35790164,88820202342160712,05.03.2022 13:56:16,05.03.2022 13:56:16,,2020234216,SK2020234216,,0F35C2FE-AD026AEB-D6E0CCDE-7AC2B371-DDDE1906,b'\x00',,2298,PD,50.59,11.87,71.82,-1.95,10.12,1.19,20.0,10.0,b'\x00',41/A,Slovensko,2020234216,SK2020234216,35790164,Bratislava - mestská časť Nové Mesto,Kaufland Slovenská republika v.o.s.,,,Trnavská cesta,b'\x01',1,88820202342160712,Slovensko,Bratislava,84101,3580,Harmincova,,STANDARD,SsLNk0RLmotAk1KQVziy3YMpOJQK7jQE0SIB2t+5ieKITcQ9CTrGqeFKmMiiMSFxId8xQBvOvwnSAPKwxjjilG/XW18e4BfZo2d8KTRGfbFAcqw481wV3tBJEwCE0qeWrrB7VZkNVphSEuxI4dJI0esMaxQOlBsibEGEST1Go+RTWyx6I/U1if3w/NRYWFaJuvx+sstDnUB17o3iUWSjGQk0TL3hZaAg2HDKmcofQzj7PtOyMS+LipvH0OqnyOOkOCa0uc6Hr2SM8QzTtgBwAq0S+bDoc5WcjXmNxV93xnYIkf2QxrNUHcsJ1DzwFsSpllQ/V/I3MI4xNXcGUqJZYw==,Stravovanie/Potraviny,2,2,2023-09-28 22:58:10,2023-11-25 23:00:57,1,1
3,O-C75BD43CDF704A779BD43CDF70EA7762,31347037,88820203125030016,05.03.2022 14:36:15,05.03.2022 14:36:15,,2020312503,SK2020312503,,3F504627-EF8CD249-224C6FFE-B6A6922D-E8249441,b'\x00',,2221,PD,21.65,15.11,43.35,0.75,4.33,1.51,20.0,10.0,b'\x00',19/A,Slovensko,2020312503,SK2020312503,31347037,Bratislava - mestská časť Ružinov,BILLA s.r.o.,,,Bajkalská,b'\x01',,88820203125030016,Slovensko,Bratislava - Karlova Ves,84102,4,Segnerová ulica,,STANDARD,DgX9Wswd27fg3fHFM04VrcEL3Oj8+UTjSmHJq8uirx2E8X3b/qqApvrIGNxctE3h5+n/zrVxoD5WS+Lb7WyIt8NKGiQWdiEQOKceISZC9Qj8am0Eqv5UXkHzS0UvYr1iMGfboQNBCKRzx9H7XqPYUxzacERCGf/QXLGnnHoVSpqHOx3qkGp8IW/1+BtgrsS8ZYBSfWfk8diQnyytPezu0nc7m0lDNOvfbbVDMViDjBWoFtRcDqvRP3nCw5/XxmC29kCphiJU26AF/Lyg3+NJHr7p4EifEklbi8Dg2dIIOjzeOsrt7fFv97Pk71dJcXsfneQR6TeT8rjGFplauqhU+A==,Stravovanie/Potraviny,1,1,2023-09-28 22:58:23,2023-11-27 19:04:12,1,1
4,O-13DF179BEA9443D89F179BEA9453D8A8,31347037,88820203125030016,26.02.2022 14:44:56,26.02.2022 14:44:56,,2020312503,SK2020312503,,2BE4598B-4703DE92-985A4576-B048D63A-C92B9B7B,b'\x00',,12049,PD,17.92,11.83,35.27,0.75,3.58,1.19,20.0,10.0,b'\x00',19/A,Slovensko,2020312503,SK2020312503,31347037,Bratislava - mestská časť Ružinov,BILLA s.r.o.,,,Bajkalská,b'\x01',,88820203125030016,Slovensko,Bratislava - Karlova Ves,84102,4,Segnerová ulica,,STANDARD,FW6thPMyM4zftlvlTgb/MzoG0NDAF3srEKWsFAzQI3IyUR1SHzMHVOEDORS5NLDBEEuJ+t424giHOOJDNFLQa4ymwDWUvypUOc8WGTmLCi7FGaMumg3gOFL1eKK+OARDAo82zv1FTYAcGglZarlz/FJrKEt7t5U/iXn4/Vb8PXsHE15IZ9w2jYs1ln2K152AY8AcrCaSICicUDDZOjKe38n6ul7pYXCtnNDwjb5LWfd/PzSdKIt4zS8OAg1po6ZZIXjl/AtOG6NiNSELW3cL30NahLQyVTKsnO1QOHdw04vT6KMJIIhEy38E8khZcvMmm0FXyr4XIf8KI5Eou4y4XQ==,,1,1,2023-09-28 22:58:32,2023-09-28 22:58:32,1,1
5,O-2CBA56EADDB34873BA56EADDB3787329,35793783,88820202794151418,29.09.2023 11:32:10,29.09.2023 11:32:10,,2020279415,SK2020279415,,8DA4D7CB-E407EBF1-EFED7BE7-5F7282AB-E8719F48,b'\x00',,15394,PD,115.03,27.56,168.36,0.0,23.01,2.76,20.0,10.0,b'\x00',,Slovensko,2020279415,SK2020279415,35793783,Bratislava - mestská časť Ružinov,"Lidl Slovenská republika, v.o.s.",,1E,Ružinovská,b'\x01',1,88820202794151418,Slovensko,Senec,90301,3561,Boldocká Cesta,,STANDARD,JgtDjjAa9G8VLDp6uN7H/NRuVjHGcj5t6S0BFmfikf2TEN9tZLjnhEFLQFx1E4XVkL55mEeGf5NUzn6OMkHInBdA2H9ZKX+WFtSy1aLy87XvLqj+seebVI+iZ4eeX3i97j+uW0De2FhfRbsL5U9wmGJ3Ts1ipmc1r3wyGRC1hTh4FZ15P2ItH0C+YuVWirqDvT4/9TOurjfAOnHYfrRUP6WwQxKFPL+dsHrYxfG3Rn/GmOdqoGM/WZtcpBp4Jy4Ej1YxMafu5fz8Pq8/mf/ewr38UViXqPjS4lH6txwV66lH2dyL5seG1e1m+lRpS4fQrDGmrtdnJpiGtRA2lz6keg==,,3,3,2023-09-29 10:08:43,2023-09-29 10:09:01,2,2
6,O-DC66B6D14342467FA6B6D14342467F87,31322832,88820203726400364,26.09.2023 11:00:48,26.09.2023 11:01:01,,2020372640,SK2020372640,,8f4ce5fa-a6028c3b-5548dd49-949c7194-051097e6,b'\x00',,8299,PD,49.42,0.0,59.31,0.0,9.89,0.0,20.0,10.0,b'\x00',,Slovensko,2020372640,SK2020372640,31322832,Bratislava - mestská časť Ružinov,"SLOVNAFT, a.s.",,1,Vlčie hrdlo,b'\x01',,88820203726400364,Slovensko,Senec,90301,34,Bratislavská,,STANDARD,gblr4JQwf0jIjhG2C2kUZ26osqNQ++wglypGUkyJyxb9/FEQENSi2CwgrTWaGInxHuWuGk8y8HjlcnqwvAkLDP/Cy4wyiXhAVMHX5432+/wKHzlXNdfn6cfV1H/GynF/dyJglTlBj2PEHuENCG4WoVZwwKJx+zGBUex8WBXKit7m9LrPsTBSIb+g62n+yCyJ024TPpFE0sTkk1O5+koovLVVcMpUROSYv9BoByl5I6HzeD0i6kkXk+qcErgtytU6YsBTH0Z3dFeNctIVzbRPmXjjqugHWPx23/qKxlmOC1NXA2vljSsoC6kiyYcoJI5reIaavelgkU5aXWOKmOeLxw==,,4,4,2023-09-29 11:08:00,2023-09-29 11:08:14,2,2
7,O-5996188F2E3C4FB896188F2E3CDFB8A0,35793783,88820202794151883,08.10.2023 18:28:32,08.10.2023 18:28:32,,2020279415,SK2020279415,,0A1A6E9B-527E5099-C245E1C3-7E100EE6-20D7AD10,b'\x00',,6133,PD,38.94,15.36,63.63,0.0,7.79,1.54,20.0,10.0,b'\x00',,Slovensko,2020279415,SK2020279415,35793783,Bratislava - mestská časť Ružinov,"Lidl Slovenská republika, v.o.s.",,1E,Ružinovská,b'\x01',24A,88820202794151883,Slovensko,Bratislava,82104,16445,Galvániho II.,,STANDARD,f78Gt21BwFAd8nODJsMhDqwqLupUkIsoMgsi2v+kc9j2PytJuzSq3fbT4xGVC7aa7S0LChtD30M/V5fk03SEo5FUohdVAD45MlCT30qgkI6HLQ9cZXYMcw+pFyzPJO2AoawnxfuxhZt+Hsk+Jpt+i7hHGol6EYY/NKhe5hpudjPZfM+Q+XBwtluI+Xiq6LiZ+1jXeyPdNenqz1zoTmMxuCEjquAg8NqUldGwNej1flGVpZkCqYWGTv5LZA5wyVAyvKAUzSsYvLhm3aCNup6W2fPimdDmKGwKIDILbqf0rld1cGkmUcc/ryW95qTgvF0lM+1THpwr0P0RYZm4eykCMg==,Stravovanie/null,3,5,2023-10-08 17:02:32,2023-10-08 17:03:38,3,3
8,O-C8C23097642942BA8230976429F2BA25,35790164,88820202342160439,15.10.2023 17:53:30,15.10.2023 17:53:30,,2020234216,SK2020234216,,8E80372B-9390C0FA-8777467B-21B312CB-6C3E0DCD,b'\x00',,3168,PD,65.54,14.8,91.18,-3.75,13.11,1.48,20.0,10.0,b'\x00',41/A,Slovensko,2020234216,SK2020234216,35790164,Bratislava - mestská časť Nové Mesto,Kaufland Slovenská republika v.o.s.,,,Trnavská cesta,b'\x01',A,88820202342160439,Slovensko,Bratislava,83104,41,Trnavská cesta,,STANDARD,EO9lNmncIDt9jEIzmveaSbSS+vYE5/EycL2+HObduO3KlqTqNfnTCAkVcAT3EyPTmUwd8nDVi0830sGPxy5MwvvSvdW4RdnuLd8bZSv/j3nflZQOCHWT8xyYxoKX4Cv9RNxsPWIMJkWhzpZ45O48gLN7LalD+USWpk6i3akXmvqarPYIh8ZT61mAh9DidjaZ+O+G+MXilD5q7XpCD/ywlRtadHKSwQJ4Oe3Y7SZKC913LWfPi3IepD2ITBYzmcy8UILj31rjzBFbtGoRu2tT3IjTUWsC6Nd+EtmFW+hrOREIAewZR7HToh5RG9+CF89VPpw6OHe8dQdc/SYy/4wPuQ==,,2,6,2023-10-16 07:04:42,2023-10-16 07:05:00,3,3
9,O-C75BD43CDF704A779BD43CDF70EA7762,31347037,88820203125030016,05.03.2022 14:36:15,05.03.2022 14:36:15,,2020312503,SK2020312503,,3F504627-EF8CD249-224C6FFE-B6A6922D-E8249441,b'\x00',,2221,PD,21.65,15.11,43.35,0.75,4.33,1.51,20.0,10.0,b'\x00',19/A,Slovensko,2020312503,SK2020312503,31347037,Bratislava - mestská časť Ružinov,BILLA s.r.o.,,,Bajkalská,b'\x01',,88820203125030016,Slovensko,Bratislava - Karlova Ves,84102,4,Segnerová ulica,,STANDARD,DgX9Wswd27fg3fHFM04VrcEL3Oj8+UTjSmHJq8uirx2E8X3b/qqApvrIGNxctE3h5+n/zrVxoD5WS+Lb7WyIt8NKGiQWdiEQOKceISZC9Qj8am0Eqv5UXkHzS0UvYr1iMGfboQNBCKRzx9H7XqPYUxzacERCGf/QXLGnnHoVSpqHOx3qkGp8IW/1+BtgrsS8ZYBSfWfk8diQnyytPezu0nc7m0lDNOvfbbVDMViDjBWoFtRcDqvRP3nCw5/XxmC29kCphiJU26AF/Lyg3+NJHr7p4EifEklbi8Dg2dIIOjzeOsrt7fFv97Pk71dJcXsfneQR6TeT8rjGFplauqhU+A==,,1,1,2023-11-03 12:32:01,2023-11-03 12:32:18,1,1
10,O-C75BD43CDF704A779BD43CDF70EA7762,31347037,88820203125030016,05.03.2022 14:36:15,05.03.2022 14:36:15,,2020312503,SK2020312503,,3F504627-EF8CD249-224C6FFE-B6A6922D-E8249441,b'\x00',,2221,PD,21.65,15.11,43.35,0.75,4.33,1.51,20.0,10.0,b'\x00',19/A,Slovensko,2020312503,SK2020312503,31347037,Bratislava - mestská časť Ružinov,BILLA s.r.o.,,,Bajkalská,b'\x01',,88820203125030016,Slovensko,Bratislava - Karlova Ves,84102,4,Segnerová ulica,,STANDARD,DgX9Wswd27fg3fHFM04VrcEL3Oj8+UTjSmHJq8uirx2E8X3b/qqApvrIGNxctE3h5+n/zrVxoD5WS+Lb7WyIt8NKGiQWdiEQOKceISZC9Qj8am0Eqv5UXkHzS0UvYr1iMGfboQNBCKRzx9H7XqPYUxzacERCGf/QXLGnnHoVSpqHOx3qkGp8IW/1+BtgrsS8ZYBSfWfk8diQnyytPezu0nc7m0lDNOvfbbVDMViDjBWoFtRcDqvRP3nCw5/XxmC29kCphiJU26AF/Lyg3+NJHr7p4EifEklbi8Dg2dIIOjzeOsrt7fFv97Pk71dJcXsfneQR6TeT8rjGFplauqhU+A==,,1,1,2023-11-13 11:13:39,2023-11-13 11:13:57,1,1
